Displayname ,station_name,topic_heartbeat,topic_heartbeatPI5,topic_meter,topic_PowerModule,topic_Router,Number of Charger heads,topic_PLCData,collection_PowerModule,collection_Meter,collection_Router,collection_StatePLC,collection_HeartbeatFallingEdge,expectedPmHead1,expectedPmHead2,topic_fanRPM
Hangchat2,Hangchat2,OCPP/Elex_PT_Hangchat2_1/heartbeat,OCPP/Hangchat2/heartbeatPI5,OCPP/Elex_PT_Hangchat2_1/meter,OCPP/Hangchat2/PowerModule,Hangchat2,2,OCPP/Hangchat2/PLC,Hangchat2,Hangchat2,Hangchat2,Hangchat2,Hangchat2,2,3,Hangchat2/RPM
HangDong7,HangDong7,OCPP/PT100_HangDong7/heartbeat,OCPP/HangDong7/heartbeatPI5,OCPP/PT100_HangDong7/meter,OCPP/HangDong7/PowerModule,HangDong,2,OCPP/HangDong7/PLC,HangDong7,HangDong7,HangDong7,HangDong7,HangDong7,2,3,HangDong/RPM
HomePro_Hatyai1,HomePro_Hatyai1,OCPP/HomePro_Hatyai1/heartbeat,OCPP/HomePro_Hatyai1/heartbeatPI5,OCPP/HomePro_Hatyai1/meter,OCPP/HomePro_Hatyai1/PowerModule,HomePro_Hatyai1,2,OCPP/HomePro_Hatyai1/PLC,HomePro_Hatyai1,HomePro_Hatyai1,HomePro_Hatyai1,HomePro_Hatyai1,HomePro_Hatyai1,2,3,HomePro_Hatyai1/RPM
Homepro_LatKrabang,Homepro_LatKrabang,OCPP/Homepro_LatKrabang/heartbeat,OCPP/Homepro_LatKrabang/heartbeatPI5,OCPP/Homepro_LatKrabang/meter,OCPP/Homepro_LatKrabang/PowerModule,Homepro_LatKrabang,2,OCPP/Homepro_LatKrabang/PLC,Homepro_LatKrabang,Homepro_LatKrabang,Homepro_LatKrabang,Homepro_LatKrabang,Homepro_LatKrabang,2,3,Homepro_LatKrabang/RPM
HomePro_Nakhonratchasima1,HomePro_Nakhonratchasima1,OCPP/HomePro_Nakhonratchasima1/heartbeat,OCPP/HomePro_Nakhonratchasima1/heartbeatPI5,OCPP/HomePro_Nakhonratchasima1/meter,OCPP/HomePro_Nakhonratchasima1/PowerModule,HomePro_Nakhonratchasima1,2,OCPP/HomePro_Nakhonratchasima1/PLC,HomePro_Nakhonratchasima1,HomePro_Nakhonratchasima1,HomePro_Nakhonratchasima1,HomePro_Nakhonratchasima1,HomePro_Nakhonratchasima1,2,3,HomePro_Nakhonratchasima1/RPM
HomePro_Sukhothai1,HomePro_Sukhothai1,OCPP/HomePro_Sukhothai1/heartbeat,OCPP/HomePro_Sukhothai1/heartbeatPI5,OCPP/HomePro_Sukhothai1/meter,OCPP/HomePro_Sukhothai1/PowerModule,HomePro_Sukhothai1,2,OCPP/HomePro_Sukhothai1/PLC,HomePro_Sukhothai1,HomePro_Sukhothai1,HomePro_Sukhothai1,HomePro_Sukhothai1,HomePro_Sukhothai1,2,3,HomePro_Sukhothai1/RPM
HuaiPhueng,HuaiPhueng,OCPP/PT_HuaiPhueng/heartbeat,OCPP/HuaiPhueng/heartbeatPI5,OCPP/PT_HuaiPhueng/meter,OCPP/HuaiPhueng/PowerModule,HuaiPhueng1,2,OCPP/HuaiPhueng/PLC,HuaiPhueng,HuaiPhueng,HuaiPhueng,HuaiPhueng,HuaiPhueng,2,3,HuaiPhueng1/RPM
ImpactNovotel,ImpactNovotel,OCPP/ImpactNovotel/heartbeat,OCPP/ImpactNovotel/heartbeatPI5,OCPP/ImpactNovotel/meter,OCPP/ImpactNovotel/PowerModule,ImpactNovotel,2,OCPP/ImpactNovotel/PLC,ImpactNovotel,ImpactNovotel,ImpactNovotel,ImpactNovotel,ImpactNovotelHB,2,3,ImpactNovotel/RPM
JPARK1,JPARK1,OCPP/Parking_JPARK1/heartbeat,OCPP/JPARK1/heartbeatPI5,OCPP/Parking_JPARK1/meter,OCPP/JPARK1/PowerModule,JPARK1,2,OCPP/JPARK1/PLC,JPARK1,Parking_JPARK1,JPARK1,JPARK1,JPARK1,2,3,JPARK1/RPM
KabinBuri7,KabinBuri7,OCPP/PT_KabinBuri7/heartbeat,OCPP/KabinBuri7/heartbeatPI5,OCPP/PT_KabinBuri7/meter,OCPP/KabinBuri7/PowerModule,KabinBuri7,2,OCPP/KabinBuri7/PLC,KabinBuri7,KabinBuri7,Kabinburi7,KabinBuri7,KabinBuri7,2,3,KabinBuri7/RPM
KabinBuri9,KabinBuri9,OCPP/Elex_PT_KabinBuri9_1/heartbeat,OCPP/KabinBuri9/heartbeatPI5,OCPP/Elex_PT_KabinBuri9_1/meter,OCPP/KabinBuri9/PowerModule,KabinBuri9,2,OCPP/KabinBuri9/PLC,KabinBuri9,KabinBuri9,KabinBuri9,KabinBuri9,KabinBuri9,2,3,KabinBuri9/RPM
